Daily data:
+-----+-----------------+-----------------+--------------------------+
| Day | Max. Queue Size | Avg. Queue Size | Total Idle Time (in min) |
+-----+-----------------+-----------------+--------------------------+
|  1  |        4        |      2.535      |           517            |
|  2  |        5        |      2.543      |           457            |
|  3  |        5        |       2.77      |           499            |
|  4  |        5        |      3.039      |           487            |
|  5  |        4        |      2.674      |           496            |
|  6  |        6        |      2.552      |           472            |
|  7  |        4        |      2.586      |           467            |
|  8  |        3        |      2.538      |           452            |
|  9  |        4        |      2.522      |           456            |
|  10 |        5        |      2.693      |           469            |
|  11 |        4        |      2.614      |           452            |
|  12 |        6        |      2.689      |           474            |
|  13 |        5        |      2.498      |           461            |
|  14 |        4        |      2.451      |           470            |
|  15 |        4        |      2.718      |           479            |
|  16 |        4        |      2.578      |           432            |
|  17 |        4        |      2.803      |           522            |
|  18 |        4        |      2.883      |           470            |
|  19 |        4        |       2.37      |           477            |
|  20 |        5        |      2.603      |           481            |
|  21 |        4        |      2.579      |           510            |
|  22 |        4        |      2.526      |           473            |
|  23 |        4        |      2.409      |           451            |
|  24 |        4        |      2.617      |           475            |
|  25 |        5        |      2.464      |           439            |
|  26 |        4        |      2.782      |           499            |
|  27 |        4        |      3.007      |           512            |
|  28 |        5        |      2.822      |           482            |
|  29 |        7        |      3.122      |           512            |
|  30 |        5        |      2.925      |           509            |
|  31 |        4        |      2.758      |           491            |
|  32 |        5        |      2.822      |           438            |
|  33 |        6        |      2.769      |           516            |
|  34 |        4        |       2.92      |           487            |
|  35 |        5        |      2.704      |           449            |
|  36 |        4        |      2.484      |           452            |
|  37 |        5        |      2.562      |           425            |
|  38 |        3        |      2.695      |           469            |
|  39 |        5        |      2.541      |           458            |
|  40 |        4        |      2.548      |           472            |
|  41 |        5        |       2.91      |           473            |
|  42 |        5        |       2.79      |           478            |
|  43 |        5        |      2.782      |           499            |
|  44 |        4        |      2.635      |           455            |
|  45 |        4        |      2.465      |           460            |
|  46 |        5        |      2.896      |           469            |
|  47 |        5        |      2.683      |           474            |
|  48 |        4        |      2.548      |           443            |
|  49 |        4        |      2.627      |           492            |
|  50 |        3        |      2.399      |           489            |
|  51 |        4        |      2.612      |           435            |
|  52 |        4        |       2.33      |           419            |
|  53 |        4        |      2.613      |           471            |
|  54 |        5        |      2.604      |           474            |
|  55 |        4        |      2.654      |           478            |
|  56 |        4        |      2.791      |           519            |
|  57 |        6        |      3.104      |           482            |
|  58 |        4        |      2.647      |           480            |
|  59 |        3        |      2.931      |           505            |
|  60 |        3        |      2.802      |           510            |
|  61 |        4        |      2.809      |           494            |
|  62 |        5        |      2.493      |           445            |
|  63 |        4        |       2.46      |           446            |
|  64 |        4        |      2.784      |           490            |
|  65 |        6        |      2.941      |           482            |
|  66 |        4        |      2.684      |           498            |
|  67 |        6        |      2.529      |           441            |
|  68 |        5        |      2.785      |           481            |
|  69 |        4        |      2.712      |           486            |
|  70 |        4        |      2.401      |           484            |
|  71 |        4        |      2.611      |           452            |
|  72 |        4        |      2.542      |           479            |
|  73 |        4        |      2.778      |           506            |
|  74 |        5        |      2.854      |           478            |
|  75 |        4        |      2.445      |           466            |
|  76 |        4        |      2.444      |           458            |
|  77 |        4        |      2.797      |           490            |
|  78 |        5        |       2.81      |           469            |
|  79 |        4        |      2.803      |           482            |
|  80 |        6        |      2.702      |           475            |
|  81 |        6        |      2.821      |           467            |
|  82 |        5        |      2.721      |           469            |
|  83 |        5        |      2.471      |           467            |
|  84 |        4        |      2.822      |           482            |
|  85 |        4        |      2.656      |           469            |
|  86 |        4        |      2.521      |           475            |
|  87 |        5        |      2.647      |           475            |
|  88 |        4        |      2.364      |           432            |
|  89 |        4        |      2.709      |           480            |
|  90 |        3        |      2.341      |           448            |
|  91 |        4        |       2.67      |           484            |
|  92 |        4        |      2.613      |           496            |
|  93 |        4        |      2.588      |           482            |
|  94 |        4        |      2.515      |           467            |
|  95 |        5        |      2.927      |           485            |
|  96 |        5        |      2.862      |           478            |
|  97 |        4        |      2.304      |           459            |
|  98 |        4        |      2.451      |           438            |
|  99 |        5        |      2.428      |           440            |
| 100 |        5        |       2.61      |           452            |
+-----+-----------------+-----------------+--------------------------+

ACROSS 100 DAYS OF SIMULATED DATA:
Maximum queue size = 7
Average queue size = 2.633
Total idle time = 47361 min
